dataset	cell	class	ngenes	reads
VASA own, 130 nt	004	multi	8	15343
VASA own, 130 nt	004	multi	9	24799
VASA own, 130 nt	004	multi	10	2476
VASA own, 130 nt	004	multi	11	1554
VASA own, 130 nt	004	multi	12	19659
VASA own, 130 nt	004	multi	13	4827
VASA own, 130 nt	004	multi	14	800
VASA own, 130 nt	004	multi	15	5806
VASA own, 130 nt	004	multi	16	494
VASA own, 130 nt	004	multi	17	788
VASA own, 130 nt	004	multi	18	253
VASA own, 130 nt	004	multi	19	228
VASA own, 130 nt	004	multi	20	734
VASA own, 130 nt	004	single	1	1110988
VASA own, 130 nt	004	single	2	92344
VASA own, 130 nt	004	single	3	7875
VASA own, 130 nt	004	single	4	959
VASA own, 130 nt	004	single	5	12
VASA own, 130 nt	004	single	8	4
VASA own, 130 nt	004	single	14	4
VASA own, 130 nt	004	single	15	13
VASA own, 130 nt	004	single	16	3
VASA own, 130 nt	004	single	17	1
VASA own, 130 nt	004	single	18	2
VASA own, 130 nt	004	single	19	4
VASA own, 130 nt	004	single	20	146
VASA own, 130 nt	005	multi	1	61465
VASA own, 130 nt	005	multi	2	285366
VASA own, 130 nt	005	multi	3	99320
VASA own, 130 nt	005	multi	4	47120
VASA own, 130 nt	005	multi	5	63138
VASA own, 130 nt	005	multi	6	28162
VASA own, 130 nt	005	multi	7	44378
VASA own, 130 nt	005	multi	8	11977
VASA own, 130 nt	005	multi	9	21100
VASA own, 130 nt	005	multi	10	2090
VASA own, 130 nt	005	multi	11	1343
VASA own, 130 nt	005	multi	12	14093
VASA own, 130 nt	005	multi	13	3555
VASA own, 130 nt	005	multi	14	726
VASA own, 130 nt	005	multi	15	4661
VASA own, 130 nt	005	multi	16	392
VASA own, 130 nt	005	multi	17	705
VASA own, 130 nt	005	multi	18	190
VASA own, 130 nt	005	multi	19	210
VASA own, 130 nt	005	multi	20	580
VASA own, 130 nt	005	single	1	973521
VASA own, 130 nt	005	single	2	84140
VASA own, 130 nt	005	single	3	7042
VASA own, 130 nt	005	single	4	752
VASA own, 130 nt	005	single	5	4
VASA own, 130 nt	005	single	6	4
VASA own, 130 nt	005	single	7	4
VASA own, 130 nt	005	single	8	2
VASA own, 130 nt	005	single	9	2
VASA own, 130 nt	005	single	10	1
VASA own, 130 nt	005	single	11	2
VASA own, 130 nt	005	single	13	5
VASA own, 130 nt	005	single	14	3
VASA own, 130 nt	005	single	15	9
VASA own, 130 nt	005	single	16	2
VASA own, 130 nt	005	single	17	3
VASA own, 130 nt	005	single	18	4
VASA own, 130 nt	005	single	19	5
VASA own, 130 nt	005	single	20	85
VASA own, 130 nt	006	multi	1	105946
VASA own, 130 nt	006	multi	2	373979
VASA own, 130 nt	006	multi	3	131939
VASA own, 130 nt	006	multi	4	67015
VASA own, 130 nt	006	multi	5	82800
VASA own, 130 nt	006	multi	6	31014
VASA own, 130 nt	006	multi	7	59629
VASA own, 130 nt	006	multi	8	16421
VASA own, 130 nt	006	multi	9	22356
VASA own, 130 nt	006	multi	10	2926
VASA own, 130 nt	006	multi	11	2584
VASA own, 130 nt	006	multi	12	16067
VASA own, 130 nt	006	multi	13	4276
VASA own, 130 nt	006	multi	14	1070
VASA own, 130 nt	006	multi	15	5845
VASA own, 130 nt	006	multi	16	634
VASA own, 130 nt	006	multi	17	1576
VASA own, 130 nt	006	multi	18	283
VASA own, 130 nt	006	multi	19	396
VASA own, 130 nt	006	multi	20	999
VASA own, 130 nt	006	single	1	1535942
VASA own, 130 nt	006	single	2	110023
VASA own, 130 nt	006	single	3	7203
VASA own, 130 nt	006	single	4	927
VASA own, 130 nt	006	single	5	4
VASA own, 130 nt	006	single	6	6
VASA own, 130 nt	006	single	8	2
VASA own, 130 nt	006	single	9	1
VASA own, 130 nt	006	single	12	8
VASA own, 130 nt	006	single	13	6
VASA own, 130 nt	006	single	14	4
VASA own, 130 nt	006	single	15	9
VASA own, 130 nt	006	single	16	14
VASA own, 130 nt	006	single	17	2
VASA own, 130 nt	006	single	18	2
VASA own, 130 nt	006	single	19	1
VASA own, 130 nt	006	single	20	107
VASA own, 130 nt	007	multi	1	205997
VASA own, 130 nt	007	multi	2	536022
VASA own, 130 nt	007	multi	3	318867
