dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
published, mouse wells	092	multi	41285	32239	97778	11917	20322	19832	5106	3	7298	1223	8453
published, mouse wells	092	single	240815	220502	268432	217665	2837	129272	83580	7	7643	3438	4168
published, mouse wells	094	multi	34590	26918	82874	10003	16915	15863	4704	10	6341	1301	8959
published, mouse wells	094	single	226991	207008	253078	204281	2727	122227	77680	10	7091	3559	4292
published, mouse wells	098	multi	22146	16548	53567	5641	10907	10380	2061	0	4107	440	2215
published, mouse wells	098	single	86476	74627	93237	73593	1034	53183	18851	11	2582	1341	1601
published, mouse wells	100	multi	48107	39366	126164	13575	25791	22946	5865	1	10554	1374	14857
published, mouse wells	100	single	300143	277903	342579	273882	4021	172942	95178	33	9750	4293	5184
published, mouse wells	104	multi	16886	12675	38317	5265	7410	7365	2435	0	2875	947	5706
published, mouse wells	104	single	102842	90365	109108	89098	1267	52100	35039	2	3224	3531	4218
published, mouse wells	106	multi	26480	20934	63612	7439	13495	12628	3574	0	4732	903	5026
published, mouse wells	106	single	150273	133601	161836	132115	1486	75893	52829	1	4878	2520	2993
published, mouse wells	108	multi	38516	29276	91510	11269	18007	15941	6050	0	7285	1616	12134
published, mouse wells	108	single	262156	234171	280229	230710	3461	122140	103600	8	8423	4330	5240
published, mouse wells	112	multi	52610	39917	122205	16174	23743	21327	8843	8	9739	1967	15278
published, mouse wells	112	single	377621	337869	405003	333340	4529	178025	147825	19	12000	5034	6080
published, mouse wells	114	multi	35359	28222	99948	7597	20625	12823	3148	4	12247	751	7781
published, mouse wells	114	single	117157	99465	124059	97491	1974	64021	31438	20	3986	2227	2687
published, mouse wells	116	multi	59932	46865	145231	18096	28769	26286	9054	6	11519	1841	16113
published, mouse wells	116	single	392450	354477	431117	349519	4958	205366	136860	18	12233	5266	6331
published, mouse wells	118	multi	8373	5757	16960	2291	3466	3199	1240	3	1315	614	3595
published, mouse wells	118	single	50765	42891	52064	42265	626	25048	16426	5	1412	1904	2294
published, mouse wells	122	multi	23682	18393	56184	6751	11642	11086	3156	2	4149	711	4870
published, mouse wells	122	single	134874	119308	144775	117604	1704	69891	44971	0	4446	2181	2601
published, mouse wells	124	multi	41016	32813	108628	11163	21650	18941	5054	3	8815	1309	12785
published, mouse wells	124	single	275372	248313	305317	244719	3594	151311	87837	20	9145	4424	5316
published, mouse wells	126	multi	4064	3089	9242	1241	1848	1720	649	0	720	183	1031
