dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
VASA published, mouse	242	single	184331	169671	204625	165942	3729	101909	61684	24	6054	0	0
VASA published, mouse	244	multi	35507	32895	133884	9835	23060	15392	7154	1	10348	0	0
VASA published, mouse	244	single	232668	219225	265748	215048	4177	130609	80117	3	8496	0	0
VASA published, mouse	246	multi	25945	24122	99776	7437	16685	10714	5401	0	8007	0	0
VASA published, mouse	246	single	168907	157274	189590	154287	2987	90148	61404	1	5721	0	0
VASA published, mouse	248	multi	63188	57551	226758	17634	39917	26444	13599	6	17502	0	0
VASA published, mouse	248	single	396992	368213	449203	361306	6907	223419	130195	56	14543	0	0
VASA published, mouse	250	multi	42600	39843	178877	9153	30690	18735	7082	4	14022	0	0
VASA published, mouse	250	single	272991	255334	313858	249567	5767	150997	93467	4	10866	0	0
VASA published, mouse	252	multi	63979	58359	242027	17928	40431	25705	13606	0	19048	0	0
