dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	44	TranscribedUnitaryPseudogene	1124	183056
FLASH-seq	multi	44	TranscribedUnprocessedPseudogene	2272	183056
FLASH-seq	multi	44	UnitaryPseudogene	720	183056
FLASH-seq	multi	44	UnprocessedPseudogene	8201	183056
FLASH-seq	multi	44	lncRNA	107722	183056
FLASH-seq	multi	44	miRNA	2881	183056
FLASH-seq	multi	44	pseudogene	10	183056
FLASH-seq	multi	44	rRNA	68	183056
FLASH-seq	multi	44	snRNA	11	183056
FLASH-seq	multi	44	snoRNA	38	183056
FLASH-seq	multi	44	tRNA	109	183056
FLASH-seq	multi	45	MiscRna	1711	194513
FLASH-seq	multi	45	MtTrna	173	194513
FLASH-seq	multi	45	ProcessedPseudogene	107442	194513
FLASH-seq	multi	45	ProteinCoding	190022	194513
FLASH-seq	multi	45	TEC	2578	194513
FLASH-seq	multi	45	TranscribedProcessedPseudogene	44943	194513
FLASH-seq	multi	45	TranscribedUnitaryPseudogene	987	194513
FLASH-seq	multi	45	TranscribedUnprocessedPseudogene	2671	194513
FLASH-seq	multi	45	UnitaryPseudogene	685	194513
FLASH-seq	multi	45	UnprocessedPseudogene	9790	194513
FLASH-seq	multi	45	lncRNA	113106	194513
FLASH-seq	multi	45	miRNA	2819	194513
FLASH-seq	multi	45	pseudogene	31	194513
FLASH-seq	multi	45	rRNA	33	194513
FLASH-seq	multi	45	scaRNA	1	194513
FLASH-seq	multi	45	snRNA	10	194513
FLASH-seq	multi	45	snoRNA	38	194513
FLASH-seq	multi	45	tRNA	119	194513
FLASH-seq	multi	46	MiscRna	4511	202953
FLASH-seq	multi	46	MtTrna	114	202953
FLASH-seq	multi	46	ProcessedPseudogene	107581	202953
FLASH-seq	multi	46	ProteinCoding	196044	202953
FLASH-seq	multi	46	TEC	2972	202953
FLASH-seq	multi	46	TranscribedProcessedPseudogene	47076	202953
FLASH-seq	multi	46	TranscribedUnitaryPseudogene	1396	202953
FLASH-seq	multi	46	TranscribedUnprocessedPseudogene	2690	202953
FLASH-seq	multi	46	UnitaryPseudogene	875	202953
FLASH-seq	multi	46	UnprocessedPseudogene	10471	202953
FLASH-seq	multi	46	lncRNA	116975	202953
FLASH-seq	multi	46	miRNA	4340	202953
FLASH-seq	multi	46	pseudogene	12	202953
FLASH-seq	multi	46	rRNA	72	202953
FLASH-seq	multi	46	scaRNA	4	202953
FLASH-seq	multi	46	snRNA	4	202953
FLASH-seq	multi	46	snoRNA	18	202953
FLASH-seq	multi	46	tRNA	249	202953
FLASH-seq	multi	47	MiscRna	2500	204111
FLASH-seq	multi	47	MtRrna	1	204111
FLASH-seq	multi	47	MtTrna	158	204111
FLASH-seq	multi	47	ProcessedPseudogene	112235	204111
FLASH-seq	multi	47	ProteinCoding	198224	204111
FLASH-seq	multi	47	TEC	2823	204111
FLASH-seq	multi	47	TranscribedProcessedPseudogene	48639	204111
FLASH-seq	multi	47	TranscribedUnitaryPseudogene	1133	204111
FLASH-seq	multi	47	TranscribedUnprocessedPseudogene	3510	204111
FLASH-seq	multi	47	UnitaryPseudogene	561	204111
FLASH-seq	multi	47	UnprocessedPseudogene	8345	204111
FLASH-seq	multi	47	lncRNA	120222	204111
FLASH-seq	multi	47	miRNA	3684	204111
FLASH-seq	multi	47	pseudogene	25	204111
FLASH-seq	multi	47	rRNA	23	204111
FLASH-seq	multi	47	snRNA	2	204111
FLASH-seq	multi	47	snoRNA	14	204111
FLASH-seq	multi	47	tRNA	210	204111
FLASH-seq	multi	48	MiscRna	3172	212888
FLASH-seq	multi	48	MtTrna	378	212888
FLASH-seq	multi	48	ProcessedPseudogene	112712	212888
FLASH-seq	multi	48	ProteinCoding	206586	212888
FLASH-seq	multi	48	TEC	2763	212888
